,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id,dependent_project_count,github_dependent_project_count
135,controllable-ncas,shyamsn97/controllable-ncas,https://github.com/shyamsn97/controllable-ncas,https://github.com/shyamsn97/controllable-ncas,MIT,2022-02-08 22:17:11,2022-05-31 03:57:53,2022-05-31 03:57:46,30.0,,4.0,3.0,1.0,1.0,,55.0,,,,,,Code for Goal-Guided Neural Cellular Automata: Learning to Control Self-Organising Systems.,,8,False,others,3.0,,,,
136,Bongard-LOGO,NVlabs/Bongard-LOGO,https://github.com/NVlabs/Bongard-LOGO,https://github.com/NVlabs/Bongard-LOGO,MIT,2020-08-19 01:46:43,2022-04-20 07:51:45,2022-03-06 07:28:32,18.0,,11.0,10.0,6.0,3.0,4.0,54.0,2020-10-02 22:16:10,0.0.1,,,1.0,Bongard-LOGO is a Python code repository with the purpose of generating synthetic Bongard problems on a large scale..,3.0,8,False,others,3.0,,,,
137,automated-interpretability,openai/automated-interpretability,https://github.com/openai/automated-interpretability,https://github.com/openai/automated-interpretability,,2023-05-08 21:24:11,2024-03-06 18:40:46,2024-03-06 18:40:46,27.0,,115.0,17.0,19.0,9.0,11.0,1073.0,,,,,,,9.0,7,False,others,3.0,,,,
138,algforopt-notebooks,algorithmsbooks/algforopt-notebooks,https://github.com/algorithmsbooks/algforopt-notebooks,https://github.com/algorithmsbooks/algforopt-notebooks,,2019-01-10 02:01:44,2022-04-10 19:21:37,2022-04-10 19:21:34,16.0,,147.0,27.0,,,12.0,554.0,,,,,,Jupyter notebooks associated with the Algorithms for Optimization textbook.,2.0,7,False,others,3.0,,,,
139,eai-vc,facebookresearch/eai-vc,https://github.com/facebookresearch/eai-vc,https://github.com/facebookresearch/eai-vc,,2023-03-21 17:23:57,2024-05-01 05:50:12,2023-07-19 23:45:59,17.0,,46.0,19.0,8.0,11.0,10.0,500.0,,,,,,The repository for the largest and most comprehensive empirical study of visual foundation models for Embodied AI (EAI).,6.0,7,False,others,3.0,,,,
140,ai-car-simulation,NeuralNine/ai-car-simulation,https://github.com/NeuralNine/ai-car-simulation,https://github.com/NeuralNine/ai-car-simulation,,2021-02-02 19:33:04,2024-06-03 20:39:10,2021-02-18 10:37:38,4.0,,157.0,2.0,3.0,8.0,3.0,292.0,,,,,,"A simple self-driving AI car game, which uses NEAT.",,7,False,others,3.0,,,,
141,fractal,Sohl-Dickstein/fractal,https://github.com/Sohl-Dickstein/fractal,https://github.com/Sohl-Dickstein/fractal,MIT,2024-02-09 04:25:12,2024-02-12 17:45:05,2024-02-12 17:45:05,18.0,,25.0,2.0,,1.0,1.0,223.0,,,,,,The boundary of neural network trainability is fractal.,,7,False,others,3.0,,,,
142,ELM,OpenDriveLab/ELM,https://github.com/OpenDriveLab/ELM,https://github.com/OpenDriveLab/ELM,,2024-02-22 21:50:05,2025-07-02 05:28:18,2025-07-02 05:28:18,56.0,,14.0,8.0,1.0,3.0,20.0,209.0,,,,,,[ECCV 2024] Embodied Understanding of Driving Scenarios.,6.0,7,False,others,3.0,,,,
143,cellularAutomata,bollu/cellularAutomata,https://github.com/bollu/cellularAutomata,https://github.com/bollu/cellularAutomata,BSD-3-Clause,2016-02-11 14:06:20,2019-05-28 10:41:53,2019-05-28 10:41:52,43.0,,12.0,10.0,1.0,1.0,1.0,188.0,,,,,,a collection of cellular automata written in Haskell with Diagrams.,2.0,7,False,others,3.0,,,,
144,evoagent,siyuyuan/evoagent,https://github.com/siyuyuan/evoagent,https://github.com/siyuyuan/evoagent,,2024-05-15 07:06:18,2024-10-19 02:26:58,2024-10-19 02:26:28,30.0,,13.0,4.0,,,5.0,156.0,,,,,,Resources for our paper: EvoAgent: Towards Automatic Multi-Agent Generation via Evolutionary Algorithms.,,7,False,others,3.0,,,,
145,evogym-design-tool,EvolutionGym/evogym-design-tool,https://github.com/EvolutionGym/evogym-design-tool,https://github.com/EvolutionGym/evogym-design-tool,MIT,2021-09-09 03:04:08,2023-06-02 23:19:40,2022-01-30 19:07:24,26.0,,13.0,9.0,2.0,4.0,2.0,106.0,,,,,,Design tool for creating Evolution Gym environments.,3.0,7,False,others,3.0,,,,
146,Pruner-Zero,pprp/Pruner-Zero,https://github.com/pprp/Pruner-Zero,https://github.com/pprp/Pruner-Zero,MIT,2024-05-28 08:47:09,2024-11-25 09:45:43,2024-11-25 09:45:43,11.0,,10.0,4.0,,2.0,6.0,98.0,,,,,,[ICML24] Pruner-Zero: Evolving Symbolic Pruning Metric from scratch for LLMs.,,7,False,others,3.0,,,,
147,EC-A-Modern-Perspective,Evolutionary-Intelligence/EC-A-Modern-Perspective,https://github.com/Evolutionary-Intelligence/EvolutionaryComputation-A-Modern-Perspective-ECAMP,https://github.com/Evolutionary-Intelligence/EvolutionaryComputation-A-Modern-Perspective-ECAMP,CC0-1.0,2023-07-11 13:19:41,2026-03-19 11:44:30,2026-03-19 11:44:30,927.0,1.0,14.0,5.0,13.0,,2.0,60.0,,,,,,"Evolutionary Computation: A Modern Perspective |...| This is an online book, which is free-access and actively-updated..",7.0,7,False,others,3.0,,Evolutionary-Intelligence/EvolutionaryComputation-A-Modern-Perspective-ECAMP,,
148,qbso-fs,amineremache/qbso-fs,https://github.com/amineremache/qbso-fs,https://github.com/amineremache/qbso-fs,MIT,2018-11-07 20:35:45,2020-03-30 09:47:03,2020-03-30 09:46:50,58.0,,17.0,3.0,,1.0,2.0,59.0,,,,,,Python implementation of QBSO-FS : a Reinforcement Learning based Bee Swarm Optimization metaheuristic for Feature..,,7,False,others,3.0,,,,
149,evolvingrl,jcoreyes/evolvingrl,https://github.com/jcoreyes/evolvingrl,https://github.com/jcoreyes/evolvingrl,MIT,2021-03-15 19:14:28,2021-03-15 19:20:02,2021-03-15 19:20:02,5.0,,7.0,4.0,,1.0,,47.0,,,,,,Supplementary Data for Evolving Reinforcement Learning Algorithms.,,7,False,others,3.0,,,,
150,neuroevobench,neuroevobench/neuroevobench,https://github.com/neuroevobench/neuroevobench,https://github.com/neuroevobench/neuroevobench,Apache-2.0,2022-03-02 18:07:45,2023-11-05 00:43:18,2023-11-05 00:43:14,70.0,,1.0,3.0,,,,42.0,2023-06-12 14:37:12,.0.0.1,,,1.0,Neuroevolution Benchmark in JAX.,,7,False,others,3.0,,,2.0,2.0
151,project-origin,kourgeorge/project-origin,https://github.com/kourgeorge/project-origin,https://github.com/kourgeorge/project-origin,BSD-2-Clause,2018-07-19 17:30:04,2022-10-10 09:18:11,2021-11-04 09:12:36,201.0,,3.0,5.0,1.0,4.0,2.0,35.0,,,,,1.0,An Artificial Life simulator for Investigating Noogenesis.,2.0,7,False,others,3.0,,,,
152,agenthive,facebookresearch/agenthive,https://github.com/facebookresearch/agenthive,https://github.com/facebookresearch/agenthive,,2022-12-20 10:00:42,2024-01-12 08:24:27,2023-11-24 22:26:48,197.0,,4.0,13.0,13.0,9.0,4.0,35.0,,,,,,AgentHive provides the primitives and helpers for a seamless usage of robohive within TorchRL.,7.0,7,False,others,3.0,,,,
153,Data_Driven_Symbolic_Regression,sayin/Data_Driven_Symbolic_Regression,https://github.com/sayin/Data_Driven_Symbolic_Regression,https://github.com/sayin/Data_Driven_Symbolic_Regression,GPL-3.0,2019-12-12 16:48:58,2021-02-10 17:45:09,2021-02-10 17:45:08,52.0,,14.0,3.0,,2.0,,35.0,,,,,,Interpretable machine learning (symbolic regression) using Genetic programming/Gene expression programming and Sparse..,,7,False,others,3.0,,,,
154,innovation-engine,Evolving-AI-Lab/innovation-engine,https://github.com/Evolving-AI-Lab/innovation-engine,https://github.com/Evolving-AI-Lab/innovation-engine,MIT,2015-09-16 05:27:02,2017-07-30 06:44:20,2017-07-30 06:44:19,15.0,,8.0,5.0,,1.0,,31.0,,,,,,Code base for Innovation Engines GECCO 2015 paper.,,7,False,others,3.0,,,,
