,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id
179,Primordia,Chakazul/Primordia,https://github.com/Chakazul/Primordia,https://github.com/Chakazul/Primordia,,2018-11-29 02:24:50,2018-12-27 10:00:32,2018-12-27 10:00:31,5,,6.0,,,,,40,,,,,,Conways Game of Life with multiple states. A precursor of Lenia.,,,,5,False,others,3.0,,
180,emergent_communication_at_scale,google-deepmind/emergent_communication_at_scale,https://github.com/google-deepmind/emergent_communication_at_scale,https://github.com/google-deepmind/emergent_communication_at_scale,Apache-2.0,2022-03-14 10:48:31,2024-07-30 21:41:17,2022-03-28 08:06:25,3,,7.0,3.0,1.0,3.0,1.0,39,,,,,,,,,,5,False,others,3.0,,
181,groove,EmptyJackson/groove,https://github.com/EmptyJackson/groove,https://github.com/EmptyJackson/groove,Apache-2.0,2023-10-04 12:03:10,2024-06-28 10:30:00,2024-06-28 10:29:58,20,,7.0,3.0,1.0,,1.0,36,,,,,,Official implementation of the NeurIPS 2023 paper Discovering General Reinforcement Learning Algorithms with..,,,2.0,5,False,others,3.0,,
182,CMA-ES_with_Margin,EvoConJP/CMA-ES_with_Margin,https://github.com/EvoConJP/CMA-ES_with_Margin,https://github.com/EvoConJP/CMA-ES_with_Margin,MIT,2022-04-21 05:05:13,2024-03-20 05:43:12,2023-06-09 18:17:56,17,,1.0,3.0,1.0,,,34,,,,,,(GECCO 2022) CMA-ES with Margin: Lower-Bounding Marginal Probability for Mixed-Integer Black-Box Optimization.,,,2.0,5,False,others,3.0,,
183,james,hdbeukel/james,https://github.com/hdbeukel/james,https://github.com/hdbeukel/james,,2014-01-20 14:34:15,2022-07-07 19:32:12,2016-08-16 09:29:57,865,,5.0,10.0,1.0,1.0,1.0,30,2016-08-16 08:11:29,1.2,132.0,0.0,5.0,A JAva MEtaheuristics Search framework.,,,2.0,5,False,others,3.0,,
184,MacGyver,allenai/MacGyver,https://github.com/allenai/MacGyver,https://github.com/allenai/MacGyver,Apache-2.0,2024-03-13 23:24:10,2024-03-26 21:16:22,2024-03-26 21:16:19,14,,7.0,2.0,,2.0,,30,,,,,,Code and Data for the NAACL 24 paper: MacGyver: Are Large Language Models Creative Problem Solvers?.,,,2.0,5,False,others,3.0,,
185,dpop7,Evolutionary-Intelligence/dpop7,https://github.com/Evolutionary-Intelligence/dpop7,https://github.com/Evolutionary-Intelligence/dpop7,GPL-3.0,2023-08-03 00:21:03,2024-02-23 12:50:28,2024-02-23 12:50:28,206,,,1.0,,,,18,,,,,,A ray-based library of Distributed POPulation-based OPtimization for Large-Scale Black-Box Optimization.,,,,5,False,others,3.0,,
186,PCGNN,Michael-Beukman/PCGNN,https://github.com/Michael-Beukman/PCGNN,https://github.com/Michael-Beukman/PCGNN,MIT,2021-10-17 06:44:28,2022-10-04 11:25:15,2022-10-04 11:25:15,43,,1.0,1.0,,,,16,,,,,,Combining NEAT and novelty search to quickly generate diverse video game levels (GECCO 2022)...,,,,5,False,others,3.0,,
187,Biological-Evolution,Evolutionary-Intelligence/Biological-Evolution,https://github.com/Evolutionary-Intelligence/Biological-Evolution,https://github.com/Evolutionary-Intelligence/Biological-Evolution,CC0-1.0,2024-02-20 09:18:10,2024-10-24 11:08:24,2024-10-24 11:08:24,165,,1.0,2.0,,,,4,,,,,,Just for Fun on Evolution...,,,,5,False,others,3.0,,
188,ENVISIONS,xufangzhi/ENVISIONS,https://github.com/xufangzhi/ENVISIONS,https://github.com/xufangzhi/ENVISIONS,,2024-04-28 06:05:22,2025-06-01 15:55:05,2025-06-01 15:54:52,61,,4.0,1.0,1.0,,5.0,117,,,,,,[ACL 2025] A Neural-Symbolic Self-Training Framework.,,,2.0,4,False,others,3.0,,
189,generative-ui-playbook,gordonbrander/generative-ui-playbook,https://github.com/gordonbrander/generative-ui-playbook,https://github.com/gordonbrander/generative-ui-playbook,CC-BY-4.0,2024-04-24 14:09:23,2024-05-21 14:54:44,2024-05-21 14:54:43,32,,2.0,6.0,1.0,,,79,,,,,,,,,2.0,4,False,others,3.0,,
190,intelligent-go-explore,conglu1997/intelligent-go-explore,https://github.com/conglu1997/intelligent-go-explore,https://github.com/conglu1997/intelligent-go-explore,MIT,2024-05-27 09:25:20,2026-04-16 13:32:40,2026-04-16 13:31:41,9,2.0,6.0,4.0,1.0,2.0,1.0,69,,,,,,Intelligent Go-Explore: Standing on the Shoulders of Giant Foundation Models.,,,2.0,4,False,others,3.0,,
191,awesome-genetic-programming,hengzhe-zhang/awesome-genetic-programming,https://github.com/hengzhe-zhang/awesome-genetic-programming,https://github.com/hengzhe-zhang/awesome-genetic-programming,,2022-05-24 11:03:08,2024-12-12 01:06:17,2024-12-12 01:06:14,13,,6.0,2.0,,,4.0,63,,,,,,A curated list of resources for genetic programming.,,,,4,False,others,3.0,,
192,HarmonyDream,thuml/HarmonyDream,https://github.com/thuml/HarmonyDream,https://github.com/thuml/HarmonyDream,MIT,2024-06-04 02:45:20,2024-06-27 05:30:00,2024-06-27 05:30:00,5,,1.0,5.0,,,1.0,56,,,,,,"Code release for HarmonyDream: Task Harmonization Inside World Models (ICML 2024), https://arxiv.org/abs/2310.00344.",,,2.0,4,False,others,3.0,,
193,ControllingBehavioralDiversity,proroklab/ControllingBehavioralDiversity,https://github.com/proroklab/ControllingBehavioralDiversity,https://github.com/proroklab/ControllingBehavioralDiversity,,2023-06-22 09:26:17,2024-12-21 17:32:53,2024-12-21 17:32:53,6,,6.0,3.0,1.0,1.0,2.0,31,,,,,,"This repository contains the code for Diversity Control (DiCo), a novel method to constrain behavioral diversity in..",,,,4,False,others,3.0,,
194,synthpop,joelnmdyer/synthpop,https://github.com/joelnmdyer/synthpop,https://github.com/joelnmdyer/synthpop,MIT,2023-08-08 10:37:50,2025-01-16 13:09:24,2024-02-07 10:33:36,37,,1.0,1.0,1.0,1.0,1.0,9,2024-02-07 10:16:13,1.0.0,,,1.0,Populating agent-based models with agents who give rise to dynamics and scenarios of interest.,,,2.0,4,False,others,3.0,,
195,ES,enajx/ES,https://github.com/enajx/ES,https://github.com/enajx/ES,,2020-09-18 15:07:32,2021-01-10 16:04:41,2021-01-10 16:04:36,21,,3.0,1.0,,,,7,,,,,,Evolution Strategy (ES) implementation of https://arxiv.org/abs/1703.03864.,,,,4,False,others,3.0,,
196,Genetic_Algorithm,AxelThevenot/Genetic_Algorithm,https://github.com/AxelThevenot/Genetic_Algorithm,https://github.com/AxelThevenot/Genetic_Algorithm,MIT,2019-03-06 18:01:09,2019-03-20 15:26:34,2019-03-20 15:26:33,32,,1.0,1.0,,,,5,,,,,,,,,,4,False,others,3.0,,
197,ai-car-preference-learning,llama887/ai-car-preference-learning,https://github.com/llama887/ai-car-preference-learning,https://github.com/llama887/ai-car-preference-learning,,2024-05-20 19:02:16,2025-09-23 01:18:27,2025-09-23 01:17:57,458,,,1.0,5.0,,,5,,,,,,"A simple self-driving AI car game, which uses NEAT augmented for preference learning research.",,,4.0,4,False,others,3.0,,
198,alife_social,ALife-Newsletter/alife_social,https://github.com/ALife-Newsletter/alife_social,https://github.com/ALife-Newsletter/alife_social,,2024-06-10 00:59:38,2024-10-11 06:21:37,2024-10-11 06:21:36,68,,4.0,2.0,5.0,1.0,,4,,,,,,Places where to find fellow alifers.,,,9.0,4,False,others,3.0,,
199,bgpbt,xingchenwan/bgpbt,https://github.com/xingchenwan/bgpbt,https://github.com/xingchenwan/bgpbt,,2022-06-22 00:24:34,2022-09-16 10:31:57,2022-09-16 10:30:58,13,,5.0,1.0,,1.0,,31,,,,,,[AutoML22] Bayesian Generational Population-based Training (BG-PBT).,,,2.0,3,False,others,3.0,,
200,Evolved-Model-Agnostic-Loss,Decadz/Evolved-Model-Agnostic-Loss,https://github.com/Decadz/Evolved-Model-Agnostic-Loss,https://github.com/Decadz/Evolved-Model-Agnostic-Loss,MIT,2022-07-19 03:31:48,2024-08-05 02:38:05,2024-08-05 02:38:05,18,,,1.0,,,1.0,16,,,,,,[TPAMI 2023] Learning Symbolic Model-Agnostic Loss Functions via Meta-Learning. Paper Link:..,,,,3,False,others,3.0,,
201,aevo,atomisticnet/aevo,https://github.com/atomisticnet/aevo,https://github.com/atomisticnet/aevo,MPL-2.0,2020-05-30 01:56:32,2020-05-30 23:27:17,2020-05-30 23:27:09,17,,2.0,2.0,1.0,,,8,,,,,,Atomistic Evolution.,,,2.0,3,False,others,3.0,,
